report_date,ticker,filename,y_pred,y_true,position,pnl,position_rank,pnl_rank
2025-07-14,FAST,FAST_Q2-2025.json,0.033038441108363,0.0324071461782318,1,0.0324071461782318,0,0.0
2025-07-15,JPM,JPM_Q2-2025.json,0.0304569804917551,0.0222717989519434,1,0.0222717989519434,0,0.0
2025-07-15,WFC,WFC_Q2-2025.json,0.0709947847259358,0.0314242448987558,1,0.0314242448987558,1,0.0314242448987558
2025-07-15,BLK,BLK_Q2-2025.json,0.0224408786691594,0.0192284273381599,1,0.0192284273381599,0,0.0
2025-07-15,C,C_Q2-2025.json,0.0351951240816924,0.0503145322358231,1,0.0503145322358231,0,0.0
2025-07-16,JNJ,JNJ_Q2-2025.json,0.0339018799298228,0.0302144954933263,1,0.0302144954933263,0,0.0
2025-07-16,GS,GS_Q2-2025.json,0.0292094279084446,0.0087409633605908,1,0.0087409633605908,0,0.0
2025-07-24,INTC,INTC_Q2-2025.json,-0.0571370089922654,-0.0430092280472722,-1,0.0430092280472722,-1,0.0430092280472722
2025-08-04,PLTR,PLTR_Q2-2025.json,0.0547713992160369,0.0556267229359699,1,0.0556267229359699,1,0.0556267229359699
2025-08-05,AMD,AMD_Q2-2025.json,0.007909903425658,0.1114410070231923,1,0.1114410070231923,0,0.0
2025-08-27,NVDA,NVDA_Q2-2026.json,0.0103507173990993,-0.0703976635175536,1,-0.0703976635175536,0,-0.0
2025-09-04,AVGO,AVGO_Q3-2025.json,0.0171337053616505,0.0588786891185653,1,0.0588786891185653,0,0.0
2025-09-18,FDX,FDX_Q1-2026.json,0.0394491404306926,0.0290246521476503,1,0.0290246521476503,1,0.0290246521476503
2025-09-30,NKE,NKE_Q1-2026.json,-0.057010498465803,-0.0758393007564678,-1,0.0758393007564678,-1,0.0758393007564678
2025-10-13,FAST,FAST_Q3-2025.json,0.0231253085425274,-0.0003477911773879,1,-0.0003477911773879,0,-0.0
2025-10-14,JNJ,JNJ_Q3-2025.json,0.010002600851369,0.0053048554989947,1,0.0053048554989947,0,0.0
2025-10-14,WFC,WFC_Q3-2025.json,0.0120901231186369,-0.033794462722679,1,-0.033794462722679,0,-0.0
2025-10-14,BLK,BLK_Q3-2025.json,0.0008098365573525,-0.0645813616391544,1,-0.0645813616391544,-1,0.0645813616391544
2025-10-14,JPM,JPM_Q3-2025.json,0.0385000344727142,-0.0418354732736154,1,-0.0418354732736154,1,-0.0418354732736154
2025-10-14,C,C_Q3-2025.json,0.0148466133823021,-0.0388306373081677,1,-0.0388306373081677,0,-0.0
2025-10-15,GS,GS_Q3-2025.json,0.0182851752003985,-0.0264748322621715,1,-0.0264748322621715,0,-0.0
2025-10-23,INTC,INTC_Q3-2025.json,0.0076103812929708,0.0375687493166385,1,0.0375687493166385,0,0.0
2025-11-03,PLTR,PLTR_Q3-2025.json,0.0392340309186923,-0.0103387092694846,1,-0.0103387092694846,1,-0.0103387092694846
2025-11-04,AMD,AMD_Q3-2025.json,0.0258303090965138,0.0014272868936506,1,0.0014272868936506,0,0.0
2025-11-19,NVDA,NVDA_Q3-2026.json,-0.0111745188467277,-0.0674433747669731,-1,0.0674433747669731,-1,0.0674433747669731
2025-12-11,AVGO,AVGO_Q4-2025.json,0.0260824970766965,-0.0556054151481203,1,-0.0556054151481203,0,-0.0
2025-12-18,NKE,NKE_Q2-2026.json,0.0255938986211805,0.0319150668114625,1,0.0319150668114625,0,0.0
2025-12-18,FDX,FDX_Q2-2026.json,0.0465710555787929,0.0035651857717782,1,0.0035651857717782,1,0.0035651857717782
2026-01-13,C,C_Q4-2025.json,0.0260927713031104,0.0309109362033236,1,0.0309109362033236,0,0.0
2026-01-13,JPM,JPM_Q4-2025.json,0.0152387834405302,-0.0117731293671674,1,-0.0117731293671674,0,-0.0
2026-01-15,WFC,WFC_Q4-2025.json,0.0280816438556933,-0.0052807624169161,1,-0.0052807624169161,0,-0.0
2026-01-15,GS,GS_Q4-2025.json,0.0439741236166704,-0.0328775811550628,1,-0.0328775811550628,1,-0.0328775811550628
2026-01-15,BLK,BLK_Q4-2025.json,0.0056186375131019,-0.0373371230996627,1,-0.0373371230996627,-1,0.0373371230996627
2026-01-21,JNJ,JNJ_Q4-2025.json,0.0153360674138436,0.0329322663121833,1,0.0329322663121833,0,0.0
2026-01-22,INTC,INTC_Q4-2025.json,0.0043932415989292,0.0270873646253597,1,0.0270873646253597,-1,-0.0270873646253597
2026-02-02,PLTR,PLTR_Q4-2025.json,0.0121844564332225,-0.1201103492470506,1,-0.1201103492470506,0,-0.0
2026-02-03,AMD,AMD_Q4-2025.json,0.0100246854029868,0.0584776332787193,1,0.0584776332787193,0,0.0
2026-02-25,NVDA,NVDA_Q4-2026.json,0.0071367243528768,0.0032080766366866,1,0.0032080766366866,0,0.0
2026-03-04,AVGO,AVGO_Q1-2026.json,0.030662770579506,0.0319997291369689,1,0.0319997291369689,0,0.0
2026-03-19,FDX,FDX_Q3-2026.json,-0.0053283379399994,-0.0191397964093232,-1,0.0191397964093232,-1,0.0191397964093232
2026-03-31,NKE,NKE_Q3-2026.json,-0.0141436939764235,-0.051766390098897,-1,0.051766390098897,-1,0.051766390098897
2026-04-13,FAST,FAST_Q1-2026.json,0.0054516263837054,0.0103519520302319,1,0.0103519520302319,-1,-0.0103519520302319
2026-04-13,GS,GS_Q1-2026.json,0.0395764991865378,0.0047484685026304,1,0.0047484685026304,1,0.0047484685026304
2026-04-14,JPM,JPM_Q1-2026.json,0.0618449252862079,0.0070738167832427,1,0.0070738167832427,1,0.0070738167832427
2026-04-14,BLK,BLK_Q1-2026.json,0.0361887312538721,-0.0028742522919682,1,-0.0028742522919682,1,-0.0028742522919682
2026-04-14,JNJ,JNJ_Q1-2026.json,0.0220183562955521,-0.0687682373200865,1,-0.0687682373200865,0,-0.0
