horizon,model,n_train,n_test,dir_acc_train,dir_acc_test,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test,auc_train,auc_test,mcc_train,mcc_test,ic_train,ic_test,r2_train,r2_test,mse_train,mse_test,mae_train,mae_test,dir_acc_gap
1d,elasticnet,84,46,0.5833333333333334,0.43478260869565216,0.7368421052631579,0.6060606060606061,0.5833333333333334,0.43478260869565216,1.0,1.0,0.6309037900874636,0.6115384615384616,,,0.34518578515743653,0.14400246685168056,0.06609866339728987,-0.13531127346032212,0.0005128268491733426,0.0009341277676106742,0.015399378762358182,0.0225622367227476,0.1485507246376812
1d,histgb,84,46,0.7261904761904762,0.5,0.780952380952381,0.5490196078431373,0.7321428571428571,0.45161290322580644,0.8367346938775511,0.7,0.7772594752186589,0.5634615384615386,0.42686736047656915,0.04880711008692505,0.6584995443960717,0.11619229707334446,0.341369446361634,-0.1394503868596091,0.0003616692881288219,0.0009375334069713922,0.01286904896606567,0.02321969195569088,0.22619047619047616
1d,knn,84,46,0.6666666666666666,0.4782608695652174,0.7741935483870968,0.6129032258064516,0.64,0.4523809523809524,0.9795918367346939,0.95,0.61865889212828,0.5346153846153847,0.33180602480250126,0.11503304191666293,0.17294812670124762,0.005735430157261794,0.06293402990246111,-0.32463766079099665,0.0005145646227050148,0.0010899044604712666,0.016024206886632215,0.025146507878432166,0.18840579710144922
1d,lasso,84,46,0.5833333333333334,0.43478260869565216,0.7368421052631579,0.6060606060606061,0.5833333333333334,0.43478260869565216,1.0,1.0,0.5,0.5,,,,,0.0,-0.19172588256293555,0.0005491231558130896,0.0009805453925330735,0.016044691322358133,0.022856773819837098,0.1485507246376812
1d,lgbm,84,46,0.7023809523809523,0.5,0.7572815533980582,0.5106382978723404,0.7222222222222222,0.4444444444444444,0.7959183673469388,0.6,0.7749271137026239,0.5576923076923077,0.3779644730092272,0.023233834511910762,0.6469575782120077,0.09213975150083686,0.3439032814037295,-0.14510756289438365,0.00036027790063419666,0.0009421880997802091,0.012972917746924833,0.02297319916268,0.20238095238095233
1d,logreg,84,46,0.6190476190476191,0.4782608695652174,0.75,0.6129032258064516,0.6075949367088608,0.4523809523809524,0.9795918367346939,0.95,0.744606413994169,0.5423076923076923,0.19561189755877864,0.11503304191666293,,,,,,,,,0.14078674948240166
1d,rf,84,46,0.6904761904761905,0.5,0.7547169811320755,0.5660377358490566,0.7017543859649122,0.45454545454545453,0.8163265306122449,0.75,0.7918367346938775,0.5461538461538462,0.3490050304482666,0.06351714029575158,0.6989571732307381,0.04952204748689485,0.3002662997232307,-0.16608740792372867,0.00038423997772475015,0.000959450198959712,0.013120545740124214,0.02322260666147232,0.19047619047619047
1d,ridge,84,46,0.6309523809523809,0.4782608695652174,0.7596899224806202,0.6129032258064516,0.6125,0.4523809523809524,1.0,0.95,0.6373177842565598,0.625,0.264575131106459,0.11503304191666293,0.3802369140427256,0.1438791242676534,0.07289405224752799,-0.17543468459675426,0.0005090953438029228,0.0009671410859401608,0.015447120930279275,0.022689146106356455,0.15269151138716353
1d,xgb,84,46,0.7261904761904762,0.5217391304347826,0.780952380952381,0.5217391304347826,0.7321428571428571,0.46153846153846156,0.8367346938775511,0.6,0.8169096209912536,0.5634615384615385,0.42686736047656915,0.06153846153846154,0.7199352029968615,0.10860314523589268,0.46716934312988156,-0.12718019887446563,0.00029258965181448097,0.0009274375649070475,0.011968178125900307,0.02317023912951323,0.20445134575569357
5d,elasticnet,84,46,0.7261904761904762,0.5434782608695652,0.7964601769911505,0.6557377049180327,0.7142857142857143,0.5555555555555556,0.9,0.8,0.7970588235294118,0.6552380952380953,0.42008402520840293,0.046004370622823615,0.6456008909587931,0.28781991982732036,0.40504652861292145,-0.19227687875653343,0.0014377388480343218,0.002335697964410767,0.02918844444076293,0.03597008652647844,0.18271221532091098
5d,histgb,84,46,0.8452380952380952,0.5652173913043478,0.8785046728971962,0.6774193548387096,0.8245614035087719,0.5675675675675675,0.94,0.84,0.9152941176470588,0.5428571428571428,0.6788261585710819,0.09805778712233727,0.8869089804596536,0.12500770891150167,0.7066222282896759,-0.4429976197005936,0.0007089640447920891,0.002826865691213748,0.02008343444099925,0.04088739684558231,0.28002070393374745
5d,knn,84,46,0.6309523809523809,0.5869565217391305,0.7479674796747967,0.6885245901639344,0.6301369863013698,0.5833333333333334,0.92,0.84,0.6952941176470588,0.5542857142857143,0.1831603817460523,0.15181442305531792,0.42445289285191456,0.14165895775516496,0.13208384363731374,-0.12221558223135576,0.002097368676461455,0.0021984462650835902,0.03403981719107033,0.038040536329715956,0.04399585921325044
5d,lasso,84,46,0.6666666666666666,0.5652173913043478,0.7666666666666667,0.6666666666666666,0.6571428571428571,0.5714285714285714,0.92,0.8,0.76,0.5800000000000001,0.282009595164253,0.10009272139219581,0.5709753986706629,0.21012412431007013,0.2239030802816827,-0.09658409933499801,0.0018754822771558219,0.0021482335976297936,0.033227437571018786,0.03478638532668441,0.10144927536231885
5d,lgbm,84,46,0.9166666666666666,0.5869565217391305,0.9306930693069307,0.7076923076923077,0.9215686274509803,0.575,0.94,0.92,0.9735294117647058,0.5180952380952382,0.8264958033719874,0.1633964892475132,0.9731497418244407,0.10749306197964847,0.9239344604114129,-0.6840676560847032,0.0001838166957967925,0.0032991274647122294,0.009923639159475453,0.04595197684818508,0.32971014492753614
5d,logreg,84,46,0.8809523809523809,0.5869565217391305,0.9056603773584906,0.6779661016949152,0.8571428571428571,0.5882352941176471,0.96,0.8,0.9488235294117647,0.5866666666666667,0.7545937746270389,0.15124753549550504,,,,,,,,,0.29399585921325044
5d,rf,84,46,0.7142857142857143,0.5652173913043478,0.7857142857142857,0.6875,0.7096774193548387,0.5641025641025641,0.88,0.88,0.8464705882352942,0.5314285714285714,0.3913944057056313,0.0977328917158737,0.738604839526172,0.1299414122725871,0.4055992156574576,-0.2758126227093227,0.0014364032484068716,0.0024993464177042336,0.028576170072900548,0.03848015129185744,0.14906832298136652
5d,ridge,84,46,0.75,0.6521739130434783,0.8141592920353983,0.7575757575757576,0.7301587301587301,0.6097560975609756,0.92,1.0,0.853529411764706,0.68,0.4760952285695233,0.3810249640493438,0.7169585906651817,0.3395004625346901,0.4501513438584024,-0.13013099415038032,0.0013287405007170949,0.002213952739994032,0.027298554606734127,0.036036081468456736,0.09782608695652173
5d,xgb,84,46,0.7976190476190477,0.5434782608695652,0.8495575221238938,0.6557377049180327,0.7619047619047619,0.5555555555555556,0.96,0.8,0.9023529411764706,0.5523809523809524,0.5881176352917641,0.046004370622823615,0.849827122756271,0.17545482577860003,0.6121845134942958,-0.45726612221544105,0.0009371781452398984,0.002854818017450148,0.022963288983417478,0.04085555461745223,0.2541407867494825
21d,elasticnet,84,40,0.5952380952380952,0.45,0.746268656716418,0.6206896551724138,0.5952380952380952,0.45,1.0,1.0,0.5,0.5,,,,,0.0,-0.25194118260520804,0.007605876383931012,0.005875523332371102,0.06775879982056887,0.05854500555786986,0.14523809523809522
21d,histgb,84,40,0.8452380952380952,0.5,0.8761904761904762,0.6153846153846154,0.8363636363636363,0.47058823529411764,0.92,0.8888888888888888,0.9052941176470588,0.5416666666666667,0.6765196047310597,0.09851341054817479,0.8446678614168006,-0.023547070714022962,0.5579734821314004,-0.7154635683531105,0.003361999053328041,0.008050894372463277,0.043340163864233616,0.0686427313067921,0.34523809523809523
21d,knn,84,40,1.0,0.4,1.0,0.5555555555555556,1.0,0.4166666666666667,1.0,0.8333333333333334,1.0,0.5176767676767677,1.0,-0.2010075630518424,1.0,-0.12120075046904316,0.9999999999999939,-0.681652395668982,4.6103345972947e-17,0.007892214127128563,3.2356426928902203e-09,0.06852484338803481,0.6
21d,lasso,84,40,0.5952380952380952,0.45,0.746268656716418,0.6206896551724138,0.5952380952380952,0.45,1.0,1.0,0.5,0.5,,,,,0.0,-0.25194118260520804,0.007605876383931012,0.005875523332371102,0.06775879982056887,0.05854500555786986,0.14523809523809522
21d,lgbm,84,40,0.8333333333333334,0.525,0.8703703703703703,0.6415094339622641,0.8103448275862069,0.4857142857142857,0.94,0.9444444444444444,0.8911764705882353,0.5795454545454546,0.6545399382895134,0.18993429409939655,0.8187547775480912,0.005534968813256393,0.5379872490302617,-0.7505077654872379,0.0035140118716757325,0.008215361362435846,0.04560157102742854,0.06977042974395417,0.30833333333333335
21d,logreg,84,40,0.8809523809523809,0.475,0.9019607843137255,0.5882352941176471,0.8846153846153846,0.45454545454545453,0.92,0.8333333333333334,0.966470588235294,0.5252525252525253,0.7515293607641007,0.019837990021453856,,,,,,,,,0.40595238095238095
21d,rf,84,40,0.8095238095238095,0.5,0.8545454545454545,0.6296296296296297,0.7833333333333333,0.4722222222222222,0.94,0.9444444444444444,0.928235294117647,0.5303030303030303,0.6059023411894227,0.1340050420345616,0.8724713981978335,-0.03358348968105066,0.5243722765678243,-0.5692380275381701,0.0036175656691956565,0.007364638828845064,0.0449519480164672,0.06446314097139334,0.30952380952380953
21d,ridge,84,40,0.7142857142857143,0.425,0.7894736842105263,0.5660377358490566,0.703125,0.42857142857142855,0.9,0.8333333333333334,0.8470588235294118,0.4444444444444444,0.3931864547963143,-0.11396057645963793,0.6786878606864433,-0.2407129455909944,0.36184451498123693,-1.0847381902121378,0.0048537317327802506,0.009783948358490212,0.05242290861846926,0.07508431093783004,0.2892857142857143
21d,xgb,84,40,0.8452380952380952,0.5,0.8761904761904762,0.6296296296296297,0.8363636363636363,0.4722222222222222,0.92,0.9444444444444444,0.9058823529411765,0.5492424242424243,0.6765196047310597,0.1340050420345616,0.8467274486262771,-0.0037526972676643414,0.5611380238043107,-0.6695095839158813,0.0033379299405520875,0.007835226327088735,0.0431058916508643,0.06761993941242063,0.34523809523809523
63d,elasticnet,84,35,0.7738095238095238,0.5428571428571428,0.8118811881188119,0.6666666666666666,0.7321428571428571,0.5517241379310345,0.9111111111111111,0.8421052631578947,0.8592592592592593,0.4407894736842105,0.5570066518960166,0.03913191427803553,0.7251797104383924,-0.14901960784313728,0.5787265903324023,-0.4795264898709204,0.016793769193029155,0.07749507044796879,0.09199646564854748,0.19449467254475533,0.23095238095238102
63d,histgb,84,35,0.9047619047619048,0.45714285714285713,0.9148936170212766,0.5581395348837209,0.8775510204081632,0.5,0.9555555555555556,0.631578947368421,0.9686609686609686,0.506578947368421,0.8110048937761953,-0.12707606131310362,0.9412372177786777,-0.14201680672268907,0.7945160439472763,-0.45160987517335127,0.008191473878075648,0.0760328458528244,0.05231740262440336,0.20722416156744747,0.44761904761904764
63d,knn,84,35,0.6904761904761905,0.45714285714285713,0.74,0.5777777777777777,0.6727272727272727,0.5,0.8222222222222222,0.6842105263157895,0.7971509971509971,0.44078947368421056,0.3783422183385261,-0.14622441296640046,0.5553305659613244,-0.16638655462184873,0.26949227131428133,-0.13884724651762292,0.029121178568929543,0.05965087357513834,0.11470183114476727,0.16348942830293645,0.23333333333333334
63d,lasso,84,35,0.7619047619047619,0.5428571428571428,0.803921568627451,0.6521739130434783,0.7192982456140351,0.5555555555555556,0.9111111111111111,0.7894736842105263,0.8649572649572649,0.4506578947368421,0.534848774149675,0.046829290579084706,0.7466842158550168,-0.12324929971988796,0.6055976349590102,-0.4953813498118209,0.015722573833723406,0.078325520930927,0.0891333018902426,0.1991079537028955,0.21904761904761905
63d,lgbm,84,35,0.8928571428571429,0.4857142857142857,0.898876404494382,0.5714285714285714,0.9090909090909091,0.5217391304347826,0.8888888888888888,0.631578947368421,0.9606837606837606,0.48684210526315796,0.7852070532987567,-0.05868911877077392,0.914751442745773,-0.16386554621848742,0.8092125405835053,-0.5770161642435452,0.0076056083408946925,0.08260141307527465,0.05810116619904884,0.21151767812715416,0.4071428571428572
63d,logreg,84,35,0.8690476190476191,0.4857142857142857,0.8735632183908046,0.6086956521739131,0.9047619047619048,0.5185185185185185,0.8444444444444444,0.7368421052631579,0.9413105413105414,0.375,0.7399853698407473,-0.08975614027657902,,,,,,,,,0.38333333333333336
63d,rf,84,35,0.8571428571428571,0.5428571428571428,0.88,0.6666666666666666,0.8,0.5517241379310345,0.9777777777777777,0.8421052631578947,0.9606837606837607,0.48355263157894735,0.7297880704444555,0.03913191427803553,0.8991596638655462,-0.19719887955182075,0.575066843169951,-0.18869111597163557,0.016939662448431973,0.06226161032178156,0.07596343014989927,0.17217742487023183,0.3142857142857143
63d,ridge,84,35,0.7619047619047619,0.5714285714285714,0.8076923076923077,0.7058823529411765,0.711864406779661,0.5625,0.9333333333333333,0.9473684210526315,0.8586894586894587,0.4605263157894737,0.5425998547242763,0.12878054909248293,0.7183557760453579,-0.14677871148459384,0.5318746040916775,-0.422684049191276,0.018661490784530842,0.07451776049437152,0.09493336751675858,0.18184147526389596,0.19047619047619047
63d,xgb,84,35,0.9166666666666666,0.45714285714285713,0.9213483146067416,0.5581395348837209,0.9318181818181818,0.5,0.9111111111111111,0.631578947368421,0.9772079772079773,0.5296052631578947,0.833002265238681,-0.12707606131310362,0.9558975397387871,-0.11680672268907563,0.8509657233544112,-0.5256001500569285,0.0059411469758106124,0.07990833007282483,0.043723217638977546,0.2133631540404441,0.4595238095238095
